EAR,MAR,Pitch,Yaw,Label
0.2814,0.4793,-10.1395,-49.0542,0
0.2612,0.5103,-10.5645,-48.838,0
0.2659,0.5116,-11.5775,-49.6751,0
0.2654,0.491,-12.1137,-49.1525,0
0.2697,0.532,-12.5363,-49.9911,0
0.2774,0.5199,-13.2627,-51.0078,0
0.281,0.49,-12.8285,-50.3399,0
0.2648,0.5004,-12.3228,-50.5327,0
0.2701,0.5163,-14.2789,-51.5831,0
0.1259,0.5261,-13.1529,-52.1148,0
0.2215,0.5343,-14.0653,-53.315,0
0.2503,0.5459,-14.1525,-53.6643,0
0.2569,0.5297,-15.3809,-53.7311,0
0.2626,0.535,-14.5581,-53.4633,0
0.2489,0.5195,-14.4868,-53.9949,0
0.2683,0.5334,-14.3144,-53.8578,0
0.2582,0.521,-14.4914,-53.5538,0
0.2549,0.5222,-15.0517,-53.6123,0
0.2655,0.5314,-14.5145,-53.3751,0
0.2511,0.5267,-14.7496,-53.5958,0
0.2526,0.521,-15.0676,-53.3889,0
0.2621,0.5257,-15.0347,-53.5867,0
0.279,0.5006,-15.1509,-52.7409,0
0.2624,0.4767,-15.23,-52.0204,0
0.2613,0.4767,-15.435,-52.0664,0
0.2643,0.4949,-15.183,-52.7272,0
0.2466,0.4949,-15.0105,-53.1771,0
0.2587,0.5143,-14.9961,-53.8007,0
0.2507,0.517,-14.9317,-53.7003,0
0.2579,0.5103,-11.7659,-52.6817,0
0.259,0.5036,-6.1039,-52.1341,0
0.2542,0.5853,-5.3222,-53.127,0
0.2646,0.669,-6.2998,-56.3371,0
0.273,0.6097,-5.0949,-56.0695,0
0.2519,0.458,-0.1443,-53.0811,0
0.2439,0.541,3.2439,-56.0486,0
0.2568,0.5366,2.877,-52.9207,0
0.2624,0.5623,1.3091,-51.4974,0
0.2491,0.577,-0.1041,-50.1479,0
0.2463,0.6015,-0.2325,-50.4359,0
0.2574,0.5875,-0.1581,-49.8993,0
0.2543,0.5048,-2.7211,-49.0909,0
0.2697,0.6065,-2.9536,-50.7914,0
0.2736,0.554,-3.4902,-50.199,0
0.2707,0.5382,-3.307,-49.6358,0
0.287,0.5382,-2.9622,-49.0336,0
0.2793,0.536,-1.5928,-49.2776,0
0.2661,0.5232,-0.9681,-49.4487,0
0.2615,0.5114,-1.4134,-49.3643,0
0.2549,0.4881,-1.5741,-49.3449,0
0.2529,0.4767,-1.7475,-49.8687,0
0.2744,0.6201,-0.6388,-51.6248,0
0.2828,0.5158,-0.3388,-49.9249,0
0.2782,0.5775,-0.0428,-50.6684,0
0.2783,0.663,-0.6405,-51.9842,0
0.2572,0.539,-1.1511,-50.6438,0
0.2809,0.5509,-1.2795,-50.5966,0
0.2791,0.5163,-1.4186,-50.2034,0
0.2815,0.4921,-1.6983,-49.8763,0
0.2765,0.5032,-1.2546,-49.7695,0
0.2889,0.5088,-1.2264,-49.8411,0
0.2641,0.5099,-1.367,-50.0801,0
0.2817,0.5128,-0.2701,-50.6695,0
0.2844,0.5233,1.5003,-50.7097,0
0.2794,0.4998,3.3244,-49.6375,0
0.2745,0.5177,3.7296,-48.9472,0
0.2642,0.6258,5.1116,-50.7222,0
0.2528,0.646,4.98,-51.1114,0
0.2485,0.6445,4.3769,-50.8288,0
0.2607,0.6247,3.1243,-50.877,0
0.2564,0.6055,2.1686,-50.5856,0
0.276,0.5668,1.8155,-49.64,0
0.2524,0.5259,0.539,-49.6546,0
0.2613,0.4826,-2.3559,-49.7659,0
0.2689,0.4584,-5.6978,-48.8647,0
0.2961,0.457,-7.7038,-49.0088,0
0.1258,0.4715,-10.7435,-49.0177,0
0.2596,0.4909,-12.4414,-49.3195,0
0.3028,0.4869,-10.1488,-49.2482,0
0.2585,0.4816,-6.1138,-48.4474,0
0.2633,0.492,-4.5346,-49.2755,0
0.2644,0.4937,-3.3122,-50.2756,0
0.2007,0.5004,-3.9313,-48.7221,0
0.235,0.5008,-4.0473,-49.1403,0
0.2522,0.5055,-4.2519,-48.7621,0
0.2542,0.5042,-4.335,-48.5388,0
0.2586,0.5099,-4.6778,-48.5933,0
0.2573,0.5015,-4.5042,-48.5545,0
0.2408,0.5072,-4.8223,-48.3741,0
0.1105,0.5018,-2.5531,-46.816,0
0.2433,0.5081,-4.3406,-48.5312,0
0.2641,0.5051,-4.397,-49.1431,0
0.2562,0.5094,-4.6,-49.4778,0
0.2606,0.4903,-4.518,-49.4063,0
0.269,0.4785,-4.6852,-49.0682,0
0.2643,0.4645,-5.0016,-48.6363,0
0.2562,0.4635,-4.7148,-47.876,0
0.2679,0.4186,-4.4462,-46.3396,0
0.2572,0.4081,-4.2179,-45.0803,0
0.2595,0.4506,-5.5867,-47.6042,0
0.2703,0.6257,-4.9728,-51.5115,0
0.283,0.6122,-4.7687,-52.0512,0
0.268,0.5354,-4.1853,-50.0688,0
0.2432,0.4807,-3.4687,-48.3662,0
0.2498,0.4694,-3.4458,-48.6109,0
0.2476,0.4542,-3.625,-49.9678,0
0.2288,0.4773,-3.8616,-50.0018,0
0.2323,0.4905,-5.6128,-51.7046,0
0.2594,0.4933,-11.2127,-51.7592,0
0.2535,0.4762,-11.2022,-49.5341,0
0.2424,0.4912,-10.9211,-49.3548,0
0.2484,0.5023,-11.1292,-48.1766,0
0.2691,0.4928,-11.0371,-47.5939,0
0.2459,0.4924,-8.5045,-46.9987,0
0.239,0.4761,-7.4223,-47.1177,0
0.0722,0.5042,-3.4162,-49.3148,0
0.2246,0.4994,-8.293,-50.3993,0
0.2423,0.4827,-10.8948,-50.7613,0
0.2496,0.4875,-16.8159,-51.4766,0
0.2593,0.5023,-17.527,-51.4318,0
0.2541,0.4991,-16.9499,-50.9674,0
0.2499,0.476,-17.2228,-50.2395,0
0.253,0.4815,-17.4214,-50.5304,0
0.2678,0.4874,-17.3435,-50.86,0
0.2589,0.4997,-18.2452,-51.0027,0
0.248,0.4991,-18.1866,-50.4235,0
0.2662,0.5156,-18.1705,-51.4574,0
0.253,0.5046,-17.9991,-51.6957,0
0.265,0.5025,-19.0773,-51.3007,0
0.2634,0.5085,-19.1691,-52.1294,0
0.2811,0.4991,-17.9412,-51.4465,0
0.2649,0.5011,-15.5963,-50.1406,0
0.2761,0.5024,-14.5082,-50.3975,0
0.2734,0.503,-14.1862,-50.3101,0
0.2611,0.5081,-14.3666,-50.324,0
0.2769,0.4985,-14.5143,-50.099,0
0.2711,0.4942,-14.96,-50.1158,0
0.2555,0.5005,-15.2638,-50.4175,0
0.2686,0.4977,-15.1507,-50.0131,0
0.2699,0.4963,-15.8374,-50.2591,0
0.2583,0.5047,-15.9714,-50.3062,0
0.255,0.5139,-15.7081,-50.1987,0
0.2362,0.5145,-15.3848,-49.9457,0
0.2593,0.5103,-15.6911,-50.4893,0
0.2505,0.5025,-16.3124,-50.5797,0
0.2656,0.474,-15.7389,-49.6367,0
0.2721,0.4648,-16.211,-49.5235,0
0.2788,0.4738,-16.4874,-50.1694,0
0.2637,0.5519,-16.7305,-50.6606,0
0.2692,0.5776,-17.1374,-50.5995,0
0.2841,0.6058,-18.2181,-52.7895,0
0.2853,0.5863,-19.0321,-53.4085,0
0.2816,0.4973,-16.0383,-49.7669,0
0.2864,0.4715,-13.7117,-49.656,0
0.2865,0.4712,-11.3049,-49.3996,0
0.2735,0.483,-8.1724,-50.5473,0
0.2806,0.4993,-9.4637,-50.5328,0
0.273,0.4883,-8.8919,-48.8628,0
0.2595,0.4961,-9.1979,-48.9015,0
0.2167,0.4681,-9.5054,-47.5318,0
0.2343,0.4749,-11.0033,-47.1069,0
0.2209,0.4933,-12.25,-47.7859,0
0.2629,0.4986,-12.208,-48.056,0
0.2626,0.4974,-12.5879,-47.958,0
0.2677,0.4953,-12.7638,-47.5908,0
0.2704,0.497,-13.3968,-47.421,0
0.257,0.4895,-14.1352,-47.8168,0
0.2807,0.4908,-15.5931,-48.6248,0
0.2765,0.4931,-16.4573,-47.7615,0
0.2562,0.4963,-17.9113,-48.9426,0
0.2543,0.5032,-18.5307,-49.957,0
0.228,0.4949,-17.4906,-49.8475,0
0.2559,0.49,-17.5677,-47.6452,0
0.2665,0.498,-17.8705,-48.1081,0
0.271,0.4956,-17.9362,-49.0907,0
0.293,0.4798,-18.1008,-50.352,0
0.2752,0.512,-18.1891,-50.7443,0
0.2495,0.5081,-16.509,-49.838,0
0.2682,0.5233,-15.474,-48.4004,0
0.2751,0.5228,-15.3826,-47.9588,0
0.2762,0.5224,-15.9264,-47.7509,0
0.2681,0.5108,-15.3257,-46.9789,0
0.2779,0.4925,-15.9844,-47.0845,0
0.2613,0.4446,-15.4832,-45.6184,0
0.2539,0.4197,-15.4419,-44.0555,0
0.2558,0.4022,-15.1236,-42.3433,0
0.243,0.4036,-16.7215,-45.9376,0
0.2512,0.4257,-16.814,-47.6345,0
0.2626,0.4956,-16.602,-48.1282,0
0.2699,0.4344,-16.5936,-46.5948,0
0.2524,0.3745,-16.7525,-45.9025,0
0.2504,0.4192,-16.9986,-46.1653,0
0.2209,0.4727,-16.6362,-47.5135,0
0.2079,0.4901,-16.6059,-47.798,0
0.2443,0.4837,-17.0011,-47.9802,0
0.2419,0.493,-16.9977,-48.0911,0
0.2608,0.4892,-16.7475,-48.2056,0
0.2579,0.496,-16.7463,-48.2012,0
0.2479,0.5159,-16.681,-48.0057,0
0.2472,0.5065,-16.0433,-47.9787,0
0.2541,0.5232,-16.2536,-47.8213,0
0.2459,0.5247,-16.1164,-47.6093,0
0.2456,0.5271,-15.7263,-47.4275,0
0.2419,0.5299,-13.2886,-47.2491,0
0.2544,0.542,-12.3154,-47.7036,0
0.2422,0.5504,-12.8297,-47.9756,0
0.2645,0.538,-13.323,-48.4574,0
0.2409,0.5385,-10.8469,-48.6598,0
0.2319,0.6499,-7.0564,-51.335,0
0.2575,0.6336,-11.8218,-52.3469,0
0.2603,0.6413,-15.0423,-52.3553,0
0.2569,0.6117,-19.0682,-51.3479,0
0.2532,0.614,-19.2552,-49.5498,0
0.2712,0.5949,-20.0639,-49.351,0
0.2746,0.5773,-19.9309,-49.4787,0
0.2698,0.5573,-20.0527,-49.7983,0
0.2744,0.5379,-18.71,-50.157,0
0.275,0.5326,-18.5977,-50.1056,0
0.2761,0.5353,-19.5278,-50.0716,0
0.274,0.532,-17.4667,-48.1448,0
0.2623,0.5314,-17.4704,-48.0497,0
0.2558,0.528,-17.8879,-47.6604,0
0.0887,0.5323,-16.446,-46.5005,0
0.2429,0.5345,-19.1739,-48.5114,0
0.2681,0.5395,-18.895,-48.7441,0
0.2515,0.5394,-18.7184,-48.1435,0
0.2634,0.5333,-18.3876,-47.4919,0
0.2597,0.5293,-18.1412,-47.141,0
0.2525,0.524,-17.8355,-46.9334,0
0.249,0.5393,-18.4911,-46.7911,0
0.2614,0.525,-18.7255,-47.2013,0
0.2556,0.5351,-18.8678,-47.3852,0
0.2656,0.5395,-19.3903,-47.9798,0
0.2816,0.6198,-20.1289,-49.4548,0
0.2701,0.6366,-20.1615,-49.992,0
0.2757,0.6337,-20.2647,-50.4088,0
0.2915,0.6447,-19.9906,-50.6986,0
0.2795,0.623,-19.7839,-50.6881,0
0.2791,0.6309,-19.8799,-50.8266,0
0.289,0.628,-20.124,-51.1733,0
0.2763,0.6347,-20.1253,-51.01,0
0.2762,0.637,-20.0663,-51.4653,0
0.293,0.6288,-20.3721,-52.0884,0
0.2833,0.6376,-19.6741,-52.9623,0
0.2612,0.5331,-19.2766,-52.3486,0
0.2961,0.5731,-17.9477,-54.5041,0
0.2597,0.7126,-17.0844,-55.9327,0
0.2696,0.6798,-14.07,-56.0426,0
0.2477,0.7364,-14.5502,-54.8041,0
0.2439,0.6342,-12.0272,-55.1357,0
0.2525,0.6359,-10.9557,-51.4451,0
0.2515,0.6308,-10.7018,-50.6052,0
0.256,0.6773,-12.4155,-51.967,0
0.2579,0.6924,-14.3454,-53.4679,0
0.269,0.6426,-15.7272,-53.8916,0
0.2814,0.5422,-15.5626,-53.222,0
0.2731,0.5385,-16.0441,-52.6873,0
0.2735,0.5369,-17.6617,-53.0723,0
0.2917,0.5292,-19.5605,-52.4595,0
0.3132,0.5338,-21.7743,-53.5182,0
0.1809,0.5115,-21.4038,-52.4017,0
0.2872,0.5346,-21.2731,-52.6293,0
0.2828,0.548,-21.405,-52.8771,0
0.2949,0.6769,-20.7108,-54.111,0
0.2892,0.6705,-20.249,-55.2796,0
0.2914,0.6563,-20.1621,-54.8343,0
0.3,0.6049,-19.9992,-53.7298,0
0.3004,0.642,-19.3101,-53.0961,0
0.3011,0.6019,-19.7519,-53.7207,0
0.2851,0.6464,-19.9963,-54.5271,0
0.2789,0.5477,-18.5821,-52.2637,0
0.2838,0.6365,-19.313,-54.4164,0
0.2769,0.5909,-19.3148,-53.4034,0
0.2804,0.6538,-19.3563,-52.852,0
0.2739,0.5902,-18.743,-52.2979,0
0.2736,0.5367,-19.2356,-51.9006,0
0.2706,0.5144,-18.9888,-50.6232,0
0.2744,0.4919,-19.1182,-50.1058,0
0.2623,0.4748,-19.166,-49.7762,0
0.2717,0.4681,-19.1348,-49.432,0
0.2599,0.4761,-19.2677,-49.4764,0
0.2611,0.475,-19.6376,-49.9747,0
0.2675,0.4889,-19.6834,-51.0545,0
0.2576,0.4463,-19.2237,-51.3921,0
